# Oscilloscope file ./20170703_502050.bin
# Channel 1
Time / s;Voltage / V
0;0
0.025;0
0.05;0.08
0.075;0.08
0.1;0.08
0.125;0.08
0.15;0.08
0.175;0.08
0.2;0
0.225;0.08
0.25;0.08
0.275;0.16
0.3;0.08
0.325;0.08
0.35;0.08
0.375;0.08
0.4;0.08
0.425;0.08
0.45;0.08
0.475;0.08
0.5;0
0.525;0.08
0.55;0.08
0.575;0.08
0.6;0.08
0.625;0.08
0.65;0.08
0.675;0.08
0.7;0.08
0.725;0.08
0.75;0.08
0.775;0.16
0.8;0.08
0.825;0.08
0.85;0.08
0.875;0.16
0.9;0.08
0.925;0.08
0.95;0.16
0.975;0.16
1;0.08
1.025;0.16
1.05;0.16
1.075;0.16
1.1;0.16
1.125;0.16
1.15;0.16
1.175;0.24
1.2;0.16
1.225;0.16
1.25;0.16
1.275;0.24
1.3;0.16
1.325;0.24
1.35;0.24
1.375;0.24
1.4;0.16
1.425;0.24
1.45;0.24
1.475;0.24
1.5;0.24
1.525;0.24
1.55;0.24
1.575;0.32
1.6;0.24
1.625;0.32
1.65;0.32
1.675;0.32
1.7;0.24
1.725;0.32
1.75;0.24
1.775;0.32
1.8;0.24
1.825;0.32
1.85;0.32
1.875;0.32
1.9;0.24
1.925;0.32
1.95;0.32
1.975;0.32
2;0.32
2.025;0.32
2.05;0.32
2.075;0.4
2.1;0.32
2.125;0.4
2.15;0.4
2.175;0.4
2.2;0.32
2.225;0.4
2.25;0.4
2.275;0.4
2.3;0.4
2.325;0.4
2.35;0.4
2.375;0.48
2.4;0.4
2.425;0.48
2.45;0.4
2.475;0.48
2.5;0.4
2.525;0.4
2.55;0.48
2.575;0.48
2.6;0.4
2.625;0.48
2.65;0.48
2.675;0.48
2.7;0.4
2.725;0.48
2.75;0.48
2.775;0.56
2.8;0.48
2.825;0.48
2.85;0.48
2.875;0.56
2.9;0.48
2.925;0.48
2.95;0.56
2.975;0.56
3;0.48
3.025;0.56
3.05;0.56
3.075;0.56
3.1;0.48
3.125;0.56
3.15;0.56
3.175;0.64
3.2;0.48
3.225;0.56
3.25;0.56
3.275;0.64
3.3;0.56
3.325;0.56
3.35;0.56
3.375;0.64
3.4;0.56
3.425;0.64
3.45;0.56
3.475;0.64
3.5;0.56
3.525;0.64
3.55;0.64
3.575;0.64
3.6;0.64
3.625;0.64
3.65;0.64
3.675;0.72
3.7;0.64
3.725;0.64
3.75;0.72
3.775;0.72
3.8;0.64
3.825;0.72
3.85;0.72
3.875;0.72
3.9;0.64
3.925;0.72
3.95;0.72
3.975;0.72
4;0.64
4.025;0.72
4.05;0.72
4.075;0.8
4.1;0.72
4.125;0.72
4.15;0.72
4.175;0.8
4.2;0.72
4.225;0.72
4.25;0.72
4.275;0.8
4.3;0.72
4.325;0.72
4.35;0.8
4.375;0.8
4.4;0.8
4.425;0.8
4.45;0.8
4.475;0.8
4.5;0.8
4.525;0.8
4.55;0.8
4.575;0.88
4.6;0.8
4.625;0.88
4.65;0.8
4.675;0.88
4.7;0.8
4.725;0.88
4.75;0.88
4.775;0.96
4.8;0.88
4.825;0.88
4.85;0.88
4.875;0.88
4.9;0.88
4.925;0.88
4.95;0.88
4.975;0.96
5;0.88
5.025;0.96
5.05;0.96
5.075;0.96
5.1;0.88
5.125;0.96
5.15;0.96
5.175;0.96
5.2;0.88
5.225;0.96
5.25;0.96
5.275;1.04
5.3;0.96
5.325;0.96
5.35;0.96
5.375;1.04
5.4;0.96
5.425;0.96
5.45;1.04
5.475;1.04
5.5;0.96
5.525;1.04
5.55;1.04
5.575;1.04
5.6;0.96
5.625;1.04
5.65;1.04
5.675;1.12
5.7;1.04
5.725;1.12
5.75;1.12
5.775;1.12
5.8;1.04
5.825;1.04
5.85;1.12
5.875;1.12
5.9;1.04
5.925;1.12
5.95;1.12
5.975;1.12
6;1.04
6.025;1.12
6.05;1.12
6.075;1.12
6.1;1.12
6.125;1.12
6.15;1.12
6.175;1.2
6.2;1.12
6.225;1.12
6.25;1.2
6.275;1.2
6.3;1.12
6.325;1.2
6.35;1.2
6.375;1.2
6.4;1.2
6.425;1.2
6.45;1.2
6.475;1.28
6.5;1.2
6.525;1.2
6.55;1.2
6.575;1.28
6.6;1.2
6.625;1.28
6.65;1.28
6.675;1.28
6.7;1.2
6.725;1.28
6.75;1.28
6.775;1.28
6.8;1.2
6.825;1.28
6.85;1.28
6.875;1.28
6.9;1.28
6.925;1.28
6.95;1.28
6.975;1.36
7;1.28
7.025;1.36
7.05;1.28
7.075;1.36
7.1;1.28
7.125;1.36
7.15;1.28
7.175;1.36
7.2;1.28
7.225;1.36
7.25;1.36
7.275;1.44
7.3;1.28
7.325;1.36
7.35;1.36
7.375;1.44
7.4;1.36
7.425;1.44
7.45;1.36
7.475;1.44
7.5;1.36
7.525;1.36
7.55;1.36
7.575;1.44
7.6;1.36
7.625;1.44
7.65;1.44
7.675;1.44
7.7;1.44
7.725;1.44
7.75;1.44
7.775;1.44
7.8;1.44
7.825;1.44
7.85;1.44
7.875;1.52
7.9;1.44
7.925;1.44
7.95;1.52
7.975;1.52
8;1.44
8.025;1.52
8.05;1.52
8.075;1.52
8.1;1.52
8.125;1.52
8.15;1.52
8.175;1.6
8.2;1.52
8.225;1.6
8.25;1.6
8.275;1.6
8.3;1.52
8.325;1.52
8.35;1.52
8.375;1.6
8.4;1.52
8.425;1.52
8.45;1.6
8.475;1.6
8.5;1.6
8.525;1.6
8.55;1.6
8.575;1.6
8.6;1.6
8.625;1.6
8.65;1.6
8.675;1.68
8.7;1.6
8.725;1.68
8.75;1.6
8.775;1.68
8.8;1.6
8.825;1.68
8.85;1.68
8.875;1.68
8.9;1.68
8.925;1.68
8.95;1.68
8.975;1.68
9;1.68
9.025;1.68
9.05;1.68
9.075;1.76
9.1;1.68
9.125;1.76
9.15;1.76
9.175;1.76
9.2;1.68
9.225;1.76
9.25;1.76
9.275;1.76
9.3;1.76
9.325;1.76
9.35;1.76
9.375;1.84
9.4;1.76
9.425;1.76
9.45;1.76
9.475;1.84
9.5;1.76
9.525;1.84
9.55;1.84
9.575;1.84
9.6;1.76
9.625;1.84
9.65;1.84
9.675;1.84
9.7;1.84
9.725;1.84
9.75;1.84
9.775;1.84
9.8;1.84
9.825;1.84
9.85;1.84
9.875;1.92
9.9;1.84
9.925;1.92
9.95;1.84
9.975;1.92
10;1.84
10.025;1.92
10.05;1.92
10.075;1.92
10.1;1.84
10.125;1.92
10.15;1.92
10.175;1.92
10.2;1.92
10.225;1.92
10.25;2
10.275;2
10.3;1.92
10.325;1.92
10.35;1.92
10.375;2
10.4;1.92
10.425;1.92
10.45;2
10.475;2
10.5;2
10.525;2
10.55;2
10.575;2
10.6;2
10.625;2
10.65;2
10.675;2
10.7;2
10.725;2
10.75;2
10.775;2.08
10.8;2
10.825;2.08
10.85;2.08
10.875;2.08
10.9;2
10.925;2.08
10.95;2
10.975;2.08
11;2
11.025;2.08
11.05;2.08
11.075;2.16
11.1;2.08
11.125;2.16
11.15;2.16
11.175;2.16
11.2;2.08
11.225;2.08
11.25;2.08
11.275;2.16
11.3;2.08
11.325;2.16
11.35;2.16
11.375;2.16
11.4;2.16
11.425;2.16
11.45;2.16
11.475;2.24
11.5;2.16
11.525;2.16
11.55;2.16
11.575;2.24
11.6;2.16
11.625;2.24
11.65;2.16
11.675;2.24
11.7;2.16
11.725;2.16
11.75;2.24
11.775;2.24
11.8;2.24
11.825;2.24
11.85;2.24
11.875;2.24
11.9;2.24
11.925;2.24
11.95;2.24
11.975;2.32
12;2.24
12.025;2.24
12.05;2.32
12.075;2.32
12.1;2.24
12.125;2.32
12.15;2.32
12.175;2.32
12.2;2.24
12.225;2.32
12.25;2.32
12.275;2.32
12.3;2.32
12.325;2.32
12.35;2.32
12.375;2.4
12.4;2.32
12.425;2.32
12.45;2.32
12.475;2.4
12.5;2.32
12.525;2.4
12.55;2.32
12.575;2.4
12.6;2.32
12.625;2.4
12.65;2.4
12.675;2.4
12.7;2.4
12.725;2.4
12.75;2.4
12.775;2.48
12.8;2.4
12.825;2.4
12.85;2.4
12.875;2.48
12.9;2.4
12.925;2.48
12.95;2.48
12.975;2.48
