Kanalnummer	Impulse
Kanal/#	Impulse/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	1
60	0
61	0
62	0
63	0
64	1
65	1
66	0
67	0
68	2
69	1
70	2
71	1
72	0
73	3
74	4
75	1
76	3
77	2
78	6
79	1
80	3
81	3
82	1
83	2
84	2
85	0
86	2
87	1
88	2
89	4
90	3
91	3
92	2
93	1
94	0
95	4
96	3
97	0
98	1
99	0
100	5
101	3
102	4
103	2
104	2
105	1
106	3
107	3
108	2
109	1
110	1
111	1
112	2
113	2
114	4
115	2
116	2
117	3
118	0
119	2
120	2
121	3
122	4
123	1
124	1
125	5
126	2
127	1
128	2
129	4
130	0
131	4
132	0
133	4
134	1
135	2
136	3
137	3
138	1
139	6
140	4
141	4
142	0
143	4
144	2
145	2
146	2
147	5
148	3
149	3
150	4
151	0
152	1
153	0
154	2
155	4
156	0
157	4
158	4
159	5
160	1
161	3
162	1
163	2
164	3
165	2
166	3
167	6
168	2
169	4
170	4
171	3
172	4
173	2
174	3
175	1
176	2
177	4
178	4
179	4
180	2
181	3
182	2
183	4
184	4
185	6
186	2
187	6
188	1
189	4
190	5
191	7
192	6
193	7
194	2
195	6
196	3
197	7
198	6
199	4
200	4
201	2
202	3
203	6
204	5
205	5
206	3
207	4
208	6
209	8
210	3
211	8
212	5
213	7
214	6
215	4
216	2
217	4
218	2
219	7
220	4
221	5
222	4
223	6
224	8
225	5
226	4
227	7
228	1
229	8
230	4
231	7
232	7
233	8
234	1
235	2
236	10
237	6
238	2
239	3
240	5
241	6
242	9
243	7
244	10
245	5
246	6
247	4
248	3
249	9
250	3
251	8
252	7
253	8
254	5
255	11
256	5
257	4
258	4
259	4
260	7
261	5
262	6
263	7
264	4
265	12
266	2
267	6
268	5
269	8
270	6
271	4
272	4
273	3
274	7
275	11
276	5
277	8
278	7
279	1
280	3
281	7
282	4
283	10
284	2
285	1
286	5
287	6
288	1
289	7
290	8
291	6
292	4
293	3
294	6
295	5
296	5
297	8
298	5
299	7
300	3
301	4
302	4
303	7
304	7
305	5
306	3
307	6
308	0
309	7
310	9
311	5
312	3
313	6
314	3
315	4
316	5
317	7
318	3
319	8
320	2
321	7
322	7
323	5
324	3
325	6
326	8
327	4
328	3
329	0
330	2
331	4
332	3
333	2
334	1
335	4
336	3
337	13
338	3
339	3
340	5
341	4
342	2
343	5
344	2
345	6
346	3
347	5
348	4
349	4
350	3
351	5
352	4
353	2
354	2
355	1
356	5
357	3
358	3
359	7
360	2
361	6
362	2
363	3
364	4
365	2
366	1
367	3
368	6
369	3
370	5
371	3
372	6
373	4
374	4
375	3
376	1
377	2
378	5
379	8
380	7
381	5
382	7
383	7
384	2
385	4
386	6
387	1
388	7
389	4
390	5
391	7
392	5
393	2
394	2
395	4
396	5
397	4
398	4
399	4
400	5
401	4
402	5
403	7
404	2
405	4
406	3
407	8
408	7
409	6
410	2
411	6
412	5
413	0
414	6
415	3
416	3
417	5
418	6
419	5
420	6
421	4
422	2
423	3
424	4
425	6
426	6
427	6
428	6
429	8
430	7
431	3
432	3
433	9
434	4
435	6
436	6
437	5
438	6
439	5
440	5
441	8
442	8
443	3
