Kanalnummer	Impulse
Kanal/#	Impulse/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	1
67	0
68	0
69	0
70	0
71	0
72	1
73	1
74	0
75	0
76	0
77	1
78	1
79	1
80	0
81	0
82	1
83	2
84	1
85	0
86	0
87	1
88	1
89	1
90	1
91	2
92	0
93	3
94	0
95	0
96	0
97	1
98	1
99	0
100	1
101	0
102	1
103	0
104	2
105	0
106	1
107	1
108	0
109	2
110	1
111	0
112	1
113	1
114	0
115	0
116	0
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	2
125	1
126	0
127	3
128	0
129	1
130	0
131	0
132	1
133	0
134	1
135	1
136	2
137	1
138	0
139	1
140	1
141	0
142	1
143	2
144	0
145	1
146	0
147	1
148	1
149	2
150	1
151	0
152	1
153	2
154	1
155	0
156	1
157	1
158	0
159	0
160	2
161	1
162	0
163	0
164	2
165	0
166	0
167	2
168	0
169	4
170	2
171	1
172	1
173	0
174	1
175	0
176	0
177	1
178	0
179	0
180	1
181	0
182	1
183	1
184	2
185	0
186	1
187	2
188	0
189	0
190	0
191	0
192	1
193	0
194	0
195	1
196	1
197	1
198	3
199	3
200	2
201	0
202	1
203	1
204	1
205	1
206	1
207	0
208	0
209	0
210	1
211	1
212	2
213	0
214	0
215	0
216	1
217	0
218	2
219	0
220	1
221	1
222	1
223	0
224	0
225	1
226	0
227	0
228	1
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	1
237	1
238	0
239	0
240	0
241	1
242	1
243	0
244	0
245	0
246	1
247	2
248	2
249	1
250	1
251	0
252	1
253	0
254	0
255	0
256	0
257	1
258	0
259	1
260	1
261	1
262	0
263	2
264	1
265	0
266	2
267	0
268	3
269	0
270	1
271	2
272	1
273	1
274	1
275	3
276	1
277	1
278	0
279	3
280	0
281	1
282	1
283	2
284	0
285	1
286	1
287	0
288	1
289	4
290	2
291	0
292	1
293	1
294	0
295	1
296	1
297	0
298	0
299	2
300	3
301	1
302	0
303	1
304	0
305	1
306	0
307	1
308	1
309	0
310	2
311	0
312	1
313	0
314	1
315	1
316	0
317	0
318	1
319	1
320	0
321	0
322	1
323	0
324	0
325	1
326	1
327	0
328	1
329	0
330	0
331	2
332	1
333	1
334	2
335	1
336	1
337	1
338	0
339	0
340	1
341	2
342	2
343	0
344	1
345	1
346	0
347	1
348	0
349	3
350	0
351	1
352	1
353	2
354	0
355	0
356	3
357	1
358	2
359	1
360	0
361	0
362	0
363	1
364	1
365	1
366	3
367	3
368	1
369	0
370	1
371	0
372	1
373	0
374	0
375	0
376	1
377	0
378	1
379	1
380	0
381	1
382	1
383	1
384	0
385	4
386	0
387	0
388	0
389	1
390	1
391	1
392	1
393	2
394	1
395	0
396	1
397	1
398	0
399	0
400	2
401	0
402	0
403	0
404	0
405	0
406	2
407	0
408	1
409	1
410	0
411	1
412	1
413	3
414	1
415	1
416	1
417	1
418	0
419	2
420	1
421	2
422	0
423	0
424	2
425	0
426	0
427	0
428	0
429	3
430	1
431	0
432	0
433	1
434	0
435	1
436	1
437	0
438	2
439	0
440	2
441	0
442	2
443	5
