Kanalnummer	Impulse
Kanal/#	Impulse/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	1
62	1
63	1
64	2
65	1
66	0
67	3
68	0
69	1
70	0
71	4
72	1
73	5
74	6
75	2
76	4
77	3
78	5
79	6
80	2
81	2
82	1
83	3
84	5
85	1
86	2
87	6
88	7
89	3
90	3
91	3
92	3
93	3
94	3
95	8
96	1
97	5
98	1
99	3
100	4
101	5
102	5
103	3
104	4
105	6
106	0
107	4
108	5
109	3
110	1
111	0
112	3
113	1
114	6
115	3
116	5
117	6
118	6
119	5
120	1
121	2
122	3
123	3
124	1
125	0
126	4
127	8
128	1
129	0
130	2
131	2
132	1
133	3
134	2
135	6
136	6
137	3
138	3
139	3
140	2
141	4
142	3
143	6
144	4
145	5
146	3
147	3
148	5
149	2
150	7
151	1
152	1
153	5
154	1
155	7
156	1
157	2
158	1
159	3
160	3
161	4
162	4
163	4
164	3
165	1
166	2
167	3
168	5
169	4
170	5
171	2
172	5
173	5
174	3
175	3
176	3
177	2
178	3
179	1
180	6
181	5
182	2
183	3
184	6
185	5
186	4
187	3
188	7
189	7
190	5
191	4
192	1
193	3
194	3
195	6
196	3
197	0
198	6
199	3
200	6
201	4
202	3
203	0
204	2
205	4
206	6
207	10
208	2
209	2
210	4
211	2
212	6
213	1
214	5
215	4
216	2
217	4
218	2
219	1
220	4
221	3
222	3
223	7
224	1
225	4
226	6
227	3
228	1
229	4
230	4
231	4
232	3
233	2
234	1
235	6
236	6
237	5
238	4
239	3
240	4
241	3
242	2
243	5
244	2
245	4
246	2
247	8
248	2
249	6
250	8
251	7
252	3
253	2
254	5
255	6
256	1
257	7
258	3
259	3
260	4
261	3
262	4
263	3
264	4
265	9
266	5
267	6
268	3
269	3
270	6
271	4
272	7
273	1
274	1
275	6
276	6
277	3
278	6
279	4
280	4
281	7
282	5
283	5
284	7
285	10
286	4
287	2
288	5
289	3
290	4
291	2
292	8
293	3
294	8
295	2
296	5
297	8
298	2
299	6
300	2
301	4
302	5
303	2
304	7
305	6
306	5
307	8
308	3
309	5
310	5
311	4
312	6
313	6
314	8
315	2
316	5
317	5
318	6
319	11
320	3
321	6
322	2
323	9
324	5
325	5
326	5
327	3
328	4
329	7
330	8
331	9
332	7
333	7
334	10
335	8
336	5
337	7
338	1
339	2
340	6
341	6
342	2
343	6
344	6
345	8
346	3
347	13
348	7
349	3
350	6
351	7
352	11
353	8
354	9
355	9
356	7
357	4
358	8
359	11
360	6
361	8
362	1
363	4
364	7
365	3
366	6
367	6
368	11
369	6
370	5
371	4
372	9
373	5
374	3
375	3
376	5
377	5
378	9
379	8
380	5
381	4
382	8
383	4
384	2
385	5
386	7
387	5
388	10
389	9
390	13
391	7
392	5
393	9
394	7
395	7
396	4
397	6
398	10
399	7
400	7
401	8
402	7
403	7
404	3
405	4
406	8
407	3
408	5
409	6
410	2
411	7
412	7
413	8
414	7
415	12
416	7
417	5
418	4
419	6
420	11
421	4
422	6
423	8
424	6
425	9
426	4
427	4
428	5
429	4
430	7
431	2
432	6
433	2
434	6
435	7
436	4
437	3
438	3
439	6
440	5
441	6
442	8
443	8
