Kanalnummer	Impulse
Kanal/#	Impulse/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	3
64	0
65	2
66	1
67	1
68	3
69	2
70	0
71	1
72	2
73	1
74	4
75	5
76	3
77	8
78	5
79	7
80	3
81	5
82	6
83	7
84	3
85	7
86	10
87	12
88	7
89	5
90	11
91	9
92	6
93	8
94	4
95	11
96	3
97	6
98	5
99	8
100	7
101	11
102	8
103	8
104	3
105	7
106	2
107	12
108	6
109	8
110	8
111	9
112	7
113	6
114	7
115	6
116	7
117	7
118	8
119	6
120	6
121	5
122	5
123	7
124	13
125	6
126	9
127	14
128	4
129	4
130	7
131	2
132	3
133	8
134	11
135	7
136	3
137	3
138	7
139	5
140	9
141	7
142	10
143	6
144	3
145	7
146	6
147	12
148	10
149	5
150	9
151	7
152	10
153	8
154	8
155	4
156	16
157	12
158	8
159	12
160	6
161	8
162	6
163	11
164	9
165	8
166	11
167	7
168	6
169	4
170	2
171	9
172	10
173	8
174	5
175	6
176	6
177	11
178	13
179	10
180	5
181	3
182	3
183	7
184	6
185	10
186	8
187	8
188	8
189	10
190	5
191	13
192	2
193	7
194	5
195	7
196	8
197	4
198	5
199	8
200	6
201	5
202	5
203	10
204	9
205	5
206	8
207	5
208	5
209	9
210	7
211	5
212	8
213	5
214	6
215	6
216	11
217	7
218	7
219	5
220	4
221	9
222	7
223	16
224	10
225	2
226	6
227	9
228	7
229	6
230	5
231	9
232	10
233	15
234	8
235	12
236	13
237	9
238	11
239	9
240	4
241	6
242	7
243	8
244	10
245	11
246	12
247	7
248	4
249	11
250	9
251	8
252	3
253	11
254	11
255	8
256	3
257	8
258	4
259	3
260	6
261	9
262	9
263	8
264	4
265	11
266	5
267	5
268	10
269	10
270	9
271	10
272	10
273	2
274	10
275	10
276	9
277	6
278	7
279	5
280	4
281	14
282	6
283	5
284	8
285	5
286	6
287	8
288	2
289	9
290	11
291	5
292	9
293	8
294	10
295	8
296	8
297	8
298	7
299	6
300	12
301	11
302	9
303	10
304	5
305	8
306	10
307	10
308	5
309	8
310	10
311	13
312	7
313	9
314	12
315	13
316	6
317	7
318	6
319	6
320	8
321	8
322	12
323	7
324	8
325	11
326	10
327	14
328	8
329	5
330	8
331	4
332	7
333	10
334	7
335	11
336	8
337	11
338	11
339	11
340	9
341	5
342	10
343	10
344	8
345	11
346	6
347	8
348	3
349	7
350	8
351	7
352	12
353	6
354	7
355	7
356	13
357	9
358	8
359	10
360	7
361	4
362	10
363	9
364	5
365	10
366	7
367	15
368	5
369	11
370	8
371	14
372	15
373	10
374	12
375	7
376	10
377	11
378	11
379	17
380	11
381	14
382	9
383	19
384	7
385	14
386	6
387	10
388	9
389	16
390	5
391	10
392	14
393	11
394	12
395	9
396	9
397	9
398	5
399	11
400	9
401	8
402	11
403	11
404	12
405	9
406	11
407	8
408	9
409	12
410	6
411	11
412	6
413	14
414	16
415	15
416	7
417	13
418	15
419	9
420	16
421	9
422	13
423	15
424	11
425	13
426	11
427	18
428	14
429	14
430	15
431	14
432	7
433	10
434	17
435	12
436	14
437	13
438	11
439	13
440	6
441	14
442	13
443	13
