Kanalnummer	Impulse
Kanal/#	Impulse/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	1
61	0
62	0
63	0
64	3
65	1
66	1
67	0
68	2
69	3
70	0
71	3
72	1
73	4
74	1
75	1
76	0
77	0
78	2
79	6
80	0
81	2
82	2
83	2
84	1
85	0
86	2
87	3
88	4
89	3
90	1
91	5
92	3
93	3
94	1
95	0
96	1
97	2
98	0
99	1
100	0
101	1
102	3
103	3
104	3
105	2
106	1
107	4
108	3
109	1
110	4
111	2
112	1
113	3
114	0
115	7
116	4
117	2
118	2
119	1
120	0
121	2
122	4
123	5
124	4
125	3
126	0
127	1
128	1
129	3
130	1
131	1
132	0
133	3
134	2
135	4
136	2
137	7
138	2
139	0
140	3
141	1
142	4
143	6
144	2
145	3
146	4
147	0
148	1
149	1
150	2
151	0
152	4
153	2
154	2
155	1
156	2
157	1
158	4
159	4
160	4
161	3
162	2
163	4
164	3
165	3
166	0
167	3
168	3
169	2
170	1
171	2
172	2
173	4
174	1
175	2
176	2
177	0
178	0
179	5
180	3
181	0
182	1
183	1
184	0
185	2
186	2
187	3
188	0
189	5
190	1
191	2
192	2
193	4
194	1
195	2
196	4
197	0
198	1
199	1
200	4
201	1
202	3
203	1
204	2
205	5
206	2
207	4
208	2
209	3
210	0
211	6
212	0
213	3
214	3
215	0
216	3
217	3
218	2
219	2
220	2
221	2
222	2
223	0
224	2
225	4
226	2
227	1
228	3
229	0
230	2
231	0
232	1
233	3
234	2
235	3
236	0
237	1
238	4
239	2
240	0
241	5
242	2
243	4
244	2
245	0
246	3
247	1
248	4
249	1
250	2
251	2
252	1
253	0
254	2
255	0
256	0
257	3
258	3
259	2
260	1
261	2
262	1
263	2
264	2
265	2
266	2
267	1
268	2
269	2
270	1
271	1
272	1
273	2
274	1
275	0
276	2
277	0
278	0
279	3
280	0
281	1
282	1
283	1
284	1
285	4
286	3
287	3
288	1
289	0
290	1
291	1
292	2
293	1
294	1
295	2
296	0
297	0
298	0
299	0
300	1
301	1
302	1
303	1
304	0
305	1
306	3
307	1
308	1
309	1
310	0
311	0
312	1
313	2
314	3
315	0
316	0
317	2
318	3
319	1
320	3
321	4
322	2
323	1
324	0
325	0
326	5
327	1
328	2
329	0
330	0
331	0
332	1
333	5
334	0
335	1
336	0
337	0
338	3
339	3
340	3
341	0
342	0
343	2
344	0
345	1
346	1
347	1
348	0
349	1
350	1
351	1
352	1
353	3
354	0
355	0
356	2
357	0
358	1
359	1
360	1
361	0
362	1
363	0
364	0
365	0
366	0
367	3
368	2
369	0
370	1
371	2
372	0
373	2
374	6
375	2
376	0
377	2
378	0
379	2
380	1
381	0
382	3
383	3
384	1
385	0
386	0
387	1
388	3
389	2
390	1
391	2
392	1
393	1
394	1
395	0
396	0
397	1
398	0
399	1
400	1
401	1
402	1
403	0
404	2
405	1
406	1
407	0
408	0
409	1
410	1
411	1
412	0
413	1
414	0
415	1
416	0
417	4
418	1
419	1
420	2
421	1
422	1
423	1
424	0
425	2
426	1
427	0
428	2
429	1
430	0
431	0
432	2
433	1
434	2
435	3
436	0
437	1
438	1
439	1
440	2
441	1
442	0
443	1
