Kanalnummer	Impulse
Kanal/#	Impulse/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	1
76	0
77	0
78	0
79	1
80	0
81	1
82	0
83	1
84	0
85	1
86	0
87	0
88	1
89	0
90	1
91	0
92	0
93	1
94	0
95	0
96	1
97	0
98	1
99	0
100	1
101	0
102	1
103	0
104	1
105	0
106	2
107	1
108	3
109	0
110	0
111	2
112	2
113	2
114	0
115	0
116	2
117	2
118	1
119	0
120	1
121	0
122	0
123	2
124	0
125	0
126	3
127	0
128	0
129	0
130	0
131	0
132	0
133	1
134	1
135	0
136	0
137	1
138	1
139	1
140	0
141	2
142	0
143	0
144	1
145	1
146	2
147	0
148	0
149	1
150	0
151	1
152	1
153	0
154	0
155	1
156	0
157	0
158	2
159	1
160	0
161	0
162	0
163	0
164	1
165	1
166	3
167	0
168	1
169	0
170	1
171	1
172	0
173	0
174	0
175	1
176	0
177	2
178	0
179	1
180	0
181	0
182	1
183	0
184	0
185	1
186	1
187	0
188	0
189	0
190	0
191	0
192	0
193	2
194	2
195	0
196	1
197	1
198	0
199	1
200	1
201	0
202	0
203	1
204	1
205	2
206	1
207	1
208	1
209	0
210	0
211	0
212	1
213	0
214	1
215	1
216	1
217	1
218	0
219	1
220	1
221	1
222	0
223	1
224	0
225	0
226	0
227	1
228	1
229	1
230	0
231	0
232	2
233	1
234	0
235	0
236	0
237	0
238	0
239	1
240	0
241	1
242	1
243	0
244	0
245	1
246	0
247	1
248	0
249	0
250	0
251	0
252	0
253	1
254	0
255	1
256	0
257	2
258	0
259	0
260	1
261	2
262	1
263	1
264	1
265	2
266	1
267	0
268	1
269	0
270	1
271	0
272	0
273	1
274	2
275	2
276	1
277	0
278	0
279	0
280	0
281	0
282	0
283	2
284	0
285	1
286	1
287	0
288	0
289	0
290	2
291	0
292	2
293	1
294	0
295	0
296	0
297	1
298	2
299	2
300	0
301	2
302	1
303	4
304	1
305	1
306	1
307	2
308	1
309	0
310	1
311	4
312	1
313	0
314	0
315	2
316	3
317	0
318	0
319	0
320	1
321	0
322	0
323	1
324	0
325	1
326	1
327	2
328	1
329	0
330	1
331	0
332	0
333	1
334	1
335	0
336	1
337	0
338	1
339	0
340	1
341	0
342	0
343	3
344	1
345	0
346	0
347	2
348	1
349	1
350	0
351	0
352	1
353	1
354	2
355	0
356	1
357	0
358	3
359	1
360	0
361	1
362	1
363	1
364	0
365	3
366	1
367	1
368	0
369	0
370	3
371	1
372	1
373	0
374	1
375	1
376	0
377	1
378	0
379	0
380	2
381	1
382	3
383	0
384	0
385	0
386	1
387	1
388	0
389	0
390	0
391	1
392	2
393	1
394	0
395	1
396	2
397	1
398	0
399	2
400	1
401	3
402	0
403	3
404	0
405	0
406	1
407	1
408	3
409	1
410	0
411	0
412	1
413	0
414	0
415	1
416	1
417	3
418	0
419	1
420	1
421	0
422	0
423	0
424	0
425	0
426	0
427	2
428	1
429	1
430	0
431	2
432	1
433	3
434	2
435	0
436	2
437	2
438	1
439	1
440	0
441	3
442	0
443	1
