Kanalnummer	Impulse
Kanal/#	Impulse/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	1
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	1
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	1
94	0
95	1
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	1
116	0
117	0
118	1
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	1
129	0
130	0
131	0
132	0
133	0
134	0
135	1
136	1
137	0
138	0
139	0
140	1
141	1
142	1
143	1
144	0
145	1
146	1
147	2
148	0
149	1
150	0
151	0
152	0
153	0
154	0
155	0
156	1
157	1
158	1
159	2
160	0
161	1
162	1
163	0
164	0
165	0
166	0
167	1
168	1
169	1
170	0
171	0
172	1
173	2
174	0
175	0
176	0
177	0
178	2
179	1
180	0
181	1
182	1
183	0
184	0
185	1
186	0
187	1
188	0
189	1
190	0
191	1
192	1
193	0
194	1
195	3
196	1
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	1
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	1
214	0
215	1
216	0
217	0
218	1
219	2
220	1
221	1
222	0
223	0
224	0
225	0
226	0
227	2
228	2
229	0
230	0
231	0
232	0
233	1
234	0
235	0
236	0
237	1
238	1
239	0
240	0
241	0
242	2
243	0
244	0
245	2
246	2
247	1
248	1
249	0
250	0
251	0
252	1
253	0
254	1
255	1
256	1
257	0
258	1
259	4
260	1
261	0
262	0
263	0
264	0
265	1
266	0
267	2
268	1
269	0
270	1
271	2
272	2
273	1
274	4
275	1
276	0
277	1
278	2
279	1
280	0
281	1
282	2
283	0
284	1
285	0
286	1
287	0
288	1
289	0
290	1
291	1
292	1
293	1
294	0
295	3
296	0
297	1
298	0
299	2
300	1
301	4
302	1
303	0
304	0
305	3
306	3
307	1
308	0
309	1
310	0
311	0
312	0
313	2
314	1
315	1
316	0
317	2
318	0
319	2
320	1
321	1
322	0
323	1
324	1
325	0
326	3
327	2
328	2
329	0
330	1
331	0
332	1
333	0
334	1
335	0
336	3
337	0
338	0
339	0
340	2
341	0
342	3
343	1
344	0
345	1
346	1
347	1
348	1
349	1
350	2
351	0
352	0
353	0
354	0
355	1
356	2
357	0
358	1
359	1
360	4
361	0
362	1
363	0
364	1
365	1
366	0
367	1
368	1
369	3
370	0
371	0
372	0
373	0
374	1
375	0
376	3
377	2
378	0
379	1
380	1
381	1
382	2
383	0
384	2
385	1
386	1
387	0
388	0
389	0
390	1
391	0
392	2
393	1
394	0
395	1
396	0
397	0
398	0
399	0
400	1
401	0
402	0
403	0
404	1
405	1
406	1
407	2
408	2
409	2
410	0
411	0
412	1
413	0
414	1
415	0
416	0
417	0
418	0
419	1
420	1
421	1
422	0
423	0
424	0
425	1
426	1
427	0
428	1
429	1
430	0
431	1
432	0
433	0
434	0
435	1
436	1
437	0
438	0
439	1
440	0
441	1
442	1
443	0
