Kanalnummer	Impulse
Kanal/#	Impulse/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	2
61	1
62	0
63	1
64	1
65	0
66	2
67	3
68	1
69	1
70	2
71	2
72	4
73	2
74	1
75	3
76	0
77	1
78	2
79	3
80	4
81	3
82	1
83	5
84	3
85	2
86	2
87	1
88	1
89	4
90	2
91	5
92	4
93	1
94	1
95	10
96	2
97	2
98	4
99	3
100	2
101	3
102	3
103	4
104	1
105	2
106	0
107	4
108	1
109	5
110	3
111	1
112	2
113	4
114	6
115	3
116	1
117	3
118	2
119	2
120	0
121	1
122	3
123	1
124	4
125	5
126	3
127	3
128	2
129	5
130	3
131	5
132	5
133	1
134	3
135	2
136	3
137	3
138	4
139	3
140	6
141	4
142	1
143	2
144	2
145	0
146	2
147	1
148	1
149	3
150	4
151	5
152	2
153	4
154	8
155	9
156	1
157	3
158	3
159	3
160	1
161	2
162	0
163	2
164	4
165	3
166	3
167	1
168	2
169	2
170	2
171	1
172	4
173	3
174	3
175	4
176	1
177	1
178	3
179	5
180	1
181	1
182	4
183	2
184	0
185	1
186	4
187	6
188	0
189	3
190	1
191	3
192	2
193	3
194	1
195	1
196	0
197	3
198	5
199	2
200	0
201	3
202	5
203	3
204	3
205	2
206	6
207	0
208	2
209	3
210	1
211	5
212	1
213	1
214	2
215	2
216	1
217	4
218	2
219	1
220	4
221	2
222	5
223	9
224	5
225	2
226	4
227	6
228	4
229	4
230	4
231	5
232	1
233	3
234	8
235	2
236	6
237	3
238	1
239	1
240	2
241	6
242	0
243	3
244	0
245	3
246	8
247	3
248	3
249	3
250	2
251	2
252	3
253	3
254	5
255	9
256	2
257	2
258	3
259	8
260	3
261	3
262	3
263	7
264	6
265	5
266	9
267	5
268	2
269	7
270	2
271	6
272	3
273	2
274	3
275	2
276	4
277	6
278	3
279	1
280	3
281	3
282	1
283	3
284	1
285	3
286	1
287	4
288	2
289	5
290	6
291	1
292	2
293	5
294	1
295	8
296	3
297	3
298	2
299	7
300	3
301	4
302	5
303	1
304	6
305	5
306	5
307	2
308	2
309	2
310	6
311	2
312	4
313	1
314	5
315	6
316	4
317	3
318	4
319	4
320	4
321	5
322	4
323	4
324	3
325	3
326	8
327	3
328	3
329	4
330	5
331	8
332	6
333	2
334	1
335	9
336	3
337	6
338	7
339	7
340	5
341	4
342	6
343	4
344	6
345	8
346	3
347	2
348	0
349	4
350	8
351	3
352	1
353	2
354	6
355	6
356	2
357	10
358	6
359	7
360	4
361	5
362	3
363	6
364	7
365	6
366	2
367	6
368	6
369	6
370	2
371	5
372	1
373	5
374	6
375	9
376	2
377	9
378	5
379	8
380	2
381	4
382	3
383	6
384	2
385	8
386	4
387	5
388	3
389	6
390	2
391	7
392	4
393	3
394	8
395	5
396	8
397	3
398	5
399	3
400	1
401	4
402	5
403	2
404	6
405	4
406	4
407	3
408	1
409	3
410	7
411	6
412	3
413	2
414	5
415	4
416	2
417	1
418	5
419	3
420	6
421	4
422	1
423	1
424	5
425	3
426	0
427	3
428	1
429	3
430	3
431	7
432	2
433	5
434	6
435	1
436	2
437	7
438	7
439	6
440	4
441	8
442	2
443	2
