Kanalnummer	Impulse
Kanal/#	Impulse/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	1
66	1
67	0
68	1
69	0
70	1
71	0
72	1
73	0
74	1
75	0
76	1
77	0
78	3
79	2
80	2
81	0
82	2
83	1
84	1
85	0
86	0
87	3
88	1
89	3
90	0
91	0
92	1
93	1
94	2
95	1
96	0
97	1
98	1
99	0
100	3
101	3
102	3
103	1
104	1
105	1
106	0
107	1
108	2
109	1
110	1
111	1
112	1
113	0
114	1
115	1
116	0
117	1
118	2
119	0
120	0
121	0
122	0
123	2
124	0
125	2
126	2
127	2
128	1
129	1
130	0
131	0
132	1
133	0
134	1
135	3
136	0
137	1
138	1
139	0
140	1
141	0
142	2
143	1
144	0
145	1
146	3
147	2
148	0
149	0
150	1
151	0
152	1
153	1
154	0
155	1
156	3
157	0
158	3
159	2
160	2
161	1
162	1
163	1
164	3
165	4
166	1
167	1
168	0
169	2
170	0
171	0
172	3
173	0
174	2
175	2
176	1
177	0
178	2
179	2
180	1
181	2
182	3
183	3
184	2
185	2
186	2
187	2
188	2
189	1
190	1
191	3
192	0
193	1
194	0
195	2
196	1
197	6
198	0
199	1
200	4
201	4
202	3
203	3
204	1
205	3
206	4
207	2
208	1
209	2
210	0
211	2
212	2
213	1
214	2
215	0
216	1
217	2
218	2
219	0
220	6
221	3
222	3
223	5
224	0
225	4
226	3
227	7
228	2
229	5
230	3
231	3
232	1
233	4
234	1
235	5
236	6
237	4
238	4
239	6
240	3
241	5
242	4
243	3
244	6
245	2
246	7
247	4
248	4
249	3
250	1
251	3
252	2
253	4
254	0
255	6
256	3
257	4
258	2
259	3
260	6
261	2
262	4
263	4
264	0
265	5
266	1
267	10
268	3
269	7
270	5
271	6
272	1
273	2
274	2
275	1
276	3
277	2
278	6
279	3
280	5
281	7
282	7
283	4
284	6
285	2
286	3
287	2
288	3
289	3
290	6
291	3
292	2
293	6
294	2
295	3
296	2
297	0
298	1
299	1
300	7
301	4
302	4
303	3
304	2
305	4
306	1
307	7
308	6
309	1
310	3
311	2
312	2
313	3
314	1
315	4
316	2
317	1
318	3
319	3
320	2
321	1
322	0
323	1
324	5
325	2
326	3
327	3
328	5
329	1
330	0
331	4
332	2
333	4
334	1
335	1
336	3
337	2
338	4
339	1
340	0
341	4
342	1
343	3
344	2
345	0
346	1
347	1
348	2
349	0
350	0
351	6
352	1
353	1
354	1
355	2
356	1
357	1
358	0
359	0
360	1
361	0
362	0
363	1
364	0
365	0
366	0
367	2
368	2
369	0
370	0
371	1
372	0
373	1
374	4
375	1
376	0
377	1
378	3
379	2
380	1
381	0
382	1
383	2
384	0
385	0
386	0
387	1
388	0
389	1
390	0
391	1
392	1
393	0
394	0
395	2
396	0
397	2
398	2
399	1
400	1
401	0
402	0
403	0
404	0
405	2
406	1
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	1
415	0
416	0
417	0
418	0
419	1
420	0
421	3
422	0
423	0
424	2
425	0
426	1
427	0
428	1
429	0
430	1
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	1
439	0
440	0
441	0
442	0
443	0
