Kanalnummer	Impulse
Kanal/#	Impulse/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	1
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	1
67	0
68	2
69	1
70	1
71	0
72	2
73	1
74	0
75	2
76	1
77	3
78	0
79	1
80	0
81	1
82	3
83	2
84	1
85	1
86	3
87	1
88	1
89	2
90	1
91	0
92	1
93	0
94	1
95	1
96	0
97	0
98	2
99	0
100	2
101	0
102	1
103	2
104	3
105	3
106	1
107	1
108	2
109	1
110	1
111	0
112	0
113	2
114	4
115	0
116	3
117	1
118	3
119	0
120	2
121	0
122	1
123	1
124	2
125	0
126	2
127	2
128	0
129	1
130	2
131	0
132	1
133	2
134	1
135	2
136	1
137	0
138	1
139	1
140	1
141	1
142	2
143	1
144	0
145	1
146	1
147	0
148	2
149	1
150	0
151	2
152	0
153	0
154	0
155	2
156	1
157	2
158	1
159	1
160	0
161	3
162	1
163	1
164	2
165	2
166	4
167	2
168	0
169	0
170	2
171	3
172	1
173	4
174	3
175	4
176	1
177	1
178	0
179	0
180	0
181	2
182	1
183	0
184	1
185	1
186	0
187	0
188	0
189	3
190	1
191	3
192	1
193	1
194	0
195	2
196	0
197	2
198	1
199	0
200	1
201	3
202	0
203	0
204	2
205	0
206	1
207	0
208	1
209	0
210	0
211	1
212	3
213	5
214	1
215	1
216	0
217	2
218	1
219	0
220	0
221	3
222	1
223	3
224	3
225	3
226	0
227	1
228	2
229	1
230	1
231	1
232	2
233	3
234	0
235	1
236	2
237	1
238	2
239	1
240	2
241	2
242	1
243	3
244	2
245	0
246	1
247	2
248	2
249	2
250	1
251	0
252	4
253	1
254	2
255	3
256	1
257	1
258	0
259	2
260	0
261	3
262	0
263	1
264	3
265	0
266	2
267	1
268	2
269	3
270	2
271	1
272	2
273	0
274	3
275	2
276	2
277	2
278	1
279	0
280	0
281	1
282	2
283	3
284	5
285	0
286	2
287	0
288	1
289	1
290	0
291	1
292	2
293	1
294	0
295	3
296	1
297	2
298	0
299	4
300	4
301	1
302	2
303	0
304	0
305	2
306	0
307	2
308	2
309	2
310	2
311	3
312	1
313	1
314	2
315	1
316	1
317	0
318	2
319	1
320	0
321	2
322	2
323	2
324	1
325	0
326	2
327	1
328	1
329	3
330	2
331	1
332	2
333	2
334	1
335	3
336	1
337	1
338	0
339	1
340	1
341	0
342	1
343	2
344	4
345	0
346	1
347	2
348	0
349	0
350	1
351	2
352	1
353	2
354	2
355	1
356	0
357	0
358	2
359	2
360	0
361	1
362	0
363	1
364	1
365	3
366	1
367	1
368	1
369	3
370	2
371	2
372	3
373	2
374	1
375	1
376	1
377	3
378	3
379	0
380	0
381	4
382	2
383	0
384	0
385	1
386	3
387	1
388	3
389	0
390	5
391	6
392	1
393	1
394	0
395	0
396	2
397	1
398	1
399	2
400	1
401	3
402	1
403	1
404	2
405	1
406	0
407	2
408	4
409	6
410	2
411	1
412	2
413	0
414	4
415	1
416	0
417	0
418	1
419	1
420	3
421	4
422	2
423	2
424	1
425	0
426	1
427	1
428	1
429	0
430	4
431	1
432	1
433	2
434	2
435	0
436	0
437	5
438	0
439	3
440	1
441	2
442	0
443	1
